Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder,Admission_grade,Age_at_enrollment,Gender,Status
21,12.61904761904762,19,12.789473684210526,1,0,0,128.3,35,0,Graduate
6,12.666666666666666,6,13.166666666666666,1,0,1,140.0,26,0,Enrolled
5,12.0,0,0.0,0,1,0,104.0,27,0,Dropout
6,12.166666666666666,0,0.0,0,0,0,122.3,19,0,Dropout
0,0.0,0,0.0,1,0,0,135.0,20,0,Dropout
3,10.0,3,10.571428571428571,0,1,0,119.1,20,0,Dropout
8,11.5,4,10.0,0,1,0,126.6,21,0,Enrolled
6,13.05,6,13.05,1,0,1,129.0,18,0,Graduate
2,11.0,0,0.0,1,0,0,162.3,24,0,Dropout
6,11.5,6,12.0,1,0,0,163.4,20,0,Graduate
6,12.0,6,12.5,1,0,1,121.5,21,0,Graduate
2,10.0,1,10.0,1,0,0,122.8,23,0,Enrolled
0,0.0,0,0.0,1,0,0,118.0,24,0,Dropout
0,0.0,0,0.0,1,0,0,134.0,21,0,Dropout
7,12.242857142857144,7,12.242857142857144,1,0,0,129.8,18,0,Graduate
0,0.0,0,0.0,1,0,0,152.0,27,0,Dropout
8,12.93375,8,12.93375,1,0,0,122.8,18,0,Graduate
0,0.0,0,0.0,1,0,0,150.0,35,0,Dropout
7,12.571428571428571,7,14.428571428571429,1,0,0,131.8,18,0,Graduate
3,11.816666666666668,3,11.333333333333334,1,0,0,105.9,35,0,Enrolled
4,13.75,4,14.333333333333334,1,0,0,132.1,19,0,Graduate
6,11.166666666666666,6,11.333333333333334,1,0,0,127.4,20,0,Graduate
7,12.324285714285711,7,12.324285714285711,1,0,0,129.5,18,0,Graduate
6,12.166666666666666,6,11.714285714285714,1,1,0,126.7,21,0,Graduate
5,11.142857142857142,4,11.25,1,0,1,116.5,18,0,Graduate
4,11.0,4,10.75,1,0,0,119.1,18,0,Graduate
7,12.914285714285713,7,12.914285714285713,1,0,0,126.5,18,0,Graduate
6,13.833333333333334,6,14.166666666666666,1,0,1,149.8,18,0,Graduate
6,13.857142857142858,5,13.4,1,0,0,115.1,19,0,Graduate
6,13.714285714285714,5,12.8,1,0,1,124.5,36,0,Dropout
7,12.642857142857142,7,12.642857142857142,1,0,1,128.3,18,0,Graduate
6,12.916666666666666,6,12.916666666666666,1,0,1,136.0,18,0,Graduate
6,15.625,6,15.857142857142858,1,0,1,140.0,20,0,Graduate
0,0.0,0,0.0,1,0,1,126.3,26,0,Dropout
6,11.714285714285714,6,12.0,1,0,0,126.9,21,0,Graduate
6,12.125,8,13.3125,1,0,0,145.0,25,0,Enrolled
5,11.6,5,11.6,1,0,1,115.8,19,0,Graduate
1,10.0,0,0.0,1,0,0,100.0,24,0,Dropout
1,10.0,0,0.0,1,0,1,102.5,27,0,Dropout
0,0.0,2,13.5,1,0,0,131.5,21,0,Dropout
4,13.0,3,12.333333333333334,1,0,1,147.0,18,0,Graduate
6,13.333333333333334,6,14.5,1,0,1,122.5,19,0,Graduate
4,11.25,2,12.5,1,0,0,117.5,18,0,Dropout
5,13.85,7,12.19285714285714,1,0,1,150.0,19,0,Graduate
6,13.741666666666667,7,14.9125,1,0,1,127.5,19,0,Graduate
6,15.333333333333334,5,15.8,1,0,0,140.0,33,0,Graduate
5,11.0,5,13.8,1,0,0,130.0,45,0,Graduate
6,12.0,6,12.857142857142858,1,0,1,133.3,20,0,Graduate
0,0.0,0,0.0,1,0,0,97.0,28,0,Dropout
7,11.571428571428571,7,11.571428571428571,1,0,1,112.0,19,0,Graduate
6,12.857142857142858,3,12.666666666666666,1,0,0,123.6,18,0,Graduate
0,0.0,0,0.0,1,0,0,130.5,38,0,Dropout
5,13.0,5,13.2,1,0,0,133.3,19,0,Graduate
5,11.0,5,12.0,1,0,1,132.1,21,0,Graduate
3,12.0,1,15.0,1,0,0,100.0,21,0,Dropout
5,12.6,6,13.0,1,0,1,140.4,22,0,Graduate
5,13.4,6,13.166666666666666,1,0,1,141.7,18,0,Graduate
6,11.333333333333334,6,11.571428571428571,1,0,1,119.7,18,0,Graduate
4,13.5,4,14.25,0,0,0,122.5,25,0,Dropout
3,11.75,3,10.333333333333334,0,1,0,140.0,24,0,Dropout
6,12.471428571428572,7,11.4625,1,0,0,119.4,19,0,Enrolled
11,12.909090909090908,9,13.555555555555555,1,0,0,155.0,24,0,Enrolled
5,11.6,5,13.6,1,0,1,119.1,20,0,Graduate
0,0.0,0,0.0,0,0,0,122.7,25,0,Dropout
9,12.9,10,12.363636363636363,1,0,1,117.9,20,0,Graduate
8,13.22,8,13.22,1,0,0,130.0,23,0,Graduate
7,13.151428571428571,7,13.151428571428571,1,0,1,120.0,19,0,Graduate
3,12.75,3,11.333333333333334,0,1,0,130.0,29,0,Dropout
6,11.333333333333334,4,12.25,1,0,0,116.8,21,0,Graduate
6,13.25,5,14.142857142857142,1,0,1,123.4,18,0,Graduate
5,12.4,5,12.4,1,0,0,125.4,19,0,Enrolled
6,15.0,6,12.833333333333334,1,0,1,127.2,18,0,Dropout
5,14.4,5,13.0,1,0,0,103.4,19,0,Graduate
1,11.0,0,0.0,1,0,0,123.2,18,0,Enrolled
5,12.4,5,10.8,1,0,0,124.1,18,0,Graduate
1,16.0,0,0.0,0,1,1,99.5,37,0,Dropout
5,13.571428571428571,5,12.333333333333334,1,0,0,124.9,29,0,Graduate
6,11.833333333333334,6,12.5,1,0,0,110.8,18,0,Enrolled
5,11.666666666666666,5,12.666666666666666,1,0,1,118.9,19,0,Graduate
6,11.833333333333334,2,13.0,0,1,0,118.8,22,0,Dropout
6,11.166666666666666,5,10.6,1,0,1,137.0,20,0,Graduate
0,0.0,0,0.0,1,0,0,100.0,34,0,Dropout
8,11.75,6,12.166666666666666,0,1,0,120.0,30,0,Dropout
6,14.0,6,14.0,1,0,0,122.8,18,0,Graduate
6,12.833333333333334,6,12.0,1,0,0,121.6,18,0,Graduate
4,12.25,3,11.666666666666666,1,0,0,149.2,18,0,Graduate
7,14.828571428571427,7,14.828571428571427,1,0,0,140.0,18,0,Graduate
5,11.4,5,12.8,1,0,1,133.4,19,0,Graduate
6,13.0,6,12.5,1,0,1,126.2,19,0,Graduate
7,13.671428571428573,7,13.671428571428573,1,0,1,127.8,18,0,Graduate
6,12.666666666666666,5,12.8,1,0,1,150.0,21,0,Graduate
2,10.0,1,13.0,0,0,0,113.7,20,0,Dropout
5,13.5,5,12.333333333333334,1,0,0,117.8,20,0,Graduate
7,12.67,8,13.55,1,0,0,136.7,19,0,Graduate
6,14.5,6,15.428571428571429,1,0,0,144.7,20,0,Graduate
7,13.685714285714283,8,15.3875,1,0,0,139.8,18,0,Graduate
5,11.0,3,10.666666666666666,1,0,0,113.7,20,0,Dropout
7,11.555555555555555,5,13.2,0,1,0,140.0,29,0,Dropout
7,13.79714285714286,8,13.775,1,0,1,142.3,18,0,Enrolled
7,14.00375,7,13.812857142857142,1,0,1,119.6,20,0,Graduate
4,12.0,4,11.4,1,0,1,123.7,22,0,Graduate
5,14.166666666666666,6,14.166666666666666,1,0,1,143.0,47,0,Graduate
5,14.0,5,13.8,1,0,0,100.1,31,0,Graduate
5,13.8,6,12.833333333333334,1,0,1,119.4,21,0,Graduate
5,12.8,6,11.857142857142858,1,0,0,122.1,21,0,Graduate
6,12.166666666666666,6,13.833333333333334,1,0,0,100.0,24,0,Graduate
6,12.5,6,12.333333333333334,1,0,0,113.9,18,0,Enrolled
4,12.0,4,11.5,1,0,0,101.0,32,0,Graduate
6,10.833333333333334,6,11.5,1,0,1,111.8,19,0,Graduate
8,13.385,8,13.385,1,0,0,140.0,24,0,Graduate
6,15.666666666666666,6,14.5,1,0,0,124.4,19,0,Graduate
6,14.333333333333334,6,13.833333333333334,1,1,1,150.0,19,0,Graduate
6,11.428571428571429,5,13.0,1,0,0,140.0,24,0,Enrolled
6,11.666666666666666,6,11.666666666666666,1,0,1,116.0,18,0,Graduate
5,12.0,2,11.333333333333334,1,0,1,135.6,19,0,Dropout
7,14.725714285714288,7,14.725714285714288,1,0,1,121.0,19,0,Graduate
6,14.166666666666666,6,13.666666666666666,1,0,1,118.7,18,0,Graduate
6,11.571428571428571,6,12.333333333333334,1,0,0,125.7,18,0,Graduate
7,12.5,8,13.1375,1,0,0,107.1,20,0,Graduate
8,12.86,8,12.86,1,0,0,125.5,18,0,Graduate
6,12.25,6,13.714285714285714,1,0,0,127.0,18,0,Graduate
4,12.0,5,12.2,1,0,1,113.5,21,0,Graduate
7,15.116666666666667,8,16.168888888888887,1,0,1,154.4,18,0,Graduate
2,12.5,4,10.25,0,1,0,122.0,18,0,Dropout
0,0.0,0,0.0,1,0,0,128.0,19,0,Dropout
4,11.0,4,11.0,1,0,0,115.5,19,0,Enrolled
6,11.875,4,14.6,1,0,0,117.2,18,0,Graduate
1,11.0,0,0.0,1,0,0,150.0,34,0,Dropout
5,15.2,5,13.2,1,0,0,155.3,19,0,Graduate
5,11.6,2,11.0,0,1,0,120.0,19,0,Dropout
6,14.833333333333334,6,15.142857142857142,1,1,0,116.1,26,0,Graduate
3,11.333333333333334,3,11.333333333333334,1,0,0,118.9,21,0,Dropout
5,11.2,5,11.8,1,0,1,127.3,18,0,Graduate
5,13.4,5,13.666666666666666,1,0,1,113.7,20,0,Graduate
2,10.5,0,0.0,1,0,0,118.5,25,0,Dropout
5,16.2,5,16.4,1,0,0,146.7,18,0,Graduate
7,14.542857142857144,8,14.88181818181818,1,0,1,124.3,18,0,Graduate
7,13.694285714285714,8,14.355555555555554,1,0,0,137.8,19,0,Graduate
6,11.285714285714286,6,11.857142857142858,1,0,1,130.2,18,0,Graduate
6,11.757142857142856,6,13.083333333333334,1,0,0,147.8,20,0,Enrolled
0,0.0,0,0.0,0,1,0,150.0,26,0,Dropout
7,13.058571428571428,7,13.058571428571428,1,0,1,100.0,19,0,Graduate
7,14.3,8,14.055555555555555,1,0,0,155.6,19,0,Graduate
5,11.8,8,12.0,1,0,0,117.4,19,0,Graduate
3,10.333333333333334,3,13.0,1,0,0,128.8,19,0,Enrolled
6,10.571428571428571,3,11.666666666666666,1,0,0,117.5,18,0,Graduate
6,13.333333333333334,6,13.333333333333334,1,0,0,120.4,19,0,Graduate
6,11.857142857142858,5,11.0,1,1,0,130.9,18,0,Graduate
5,12.6,5,11.4,1,0,0,125.0,18,0,Enrolled
5,14.0,5,11.6,1,0,0,136.8,18,0,Enrolled
5,12.0,6,12.666666666666666,1,0,0,121.6,18,0,Enrolled
0,0.0,0,0.0,1,1,0,151.0,26,0,Dropout
6,12.0,6,13.0,1,0,0,103.5,20,0,Graduate
6,12.666666666666666,6,11.666666666666666,1,0,0,119.4,19,0,Graduate
6,12.166666666666666,6,13.666666666666666,1,0,1,134.4,18,0,Graduate
6,13.333333333333334,6,14.666666666666666,1,0,0,143.0,19,0,Graduate
7,15.0,7,14.571428571428571,1,1,0,110.0,40,0,Graduate
8,13.39125,8,13.39125,1,0,1,132.5,18,0,Graduate
5,12.166666666666666,6,12.428571428571429,1,0,0,114.7,19,0,Graduate
4,11.25,4,12.5,1,0,0,166.9,18,0,Graduate
4,12.0,3,12.0,1,0,0,125.9,19,0,Enrolled
0,0.0,0,0.0,1,0,0,178.3,18,0,Dropout
6,12.833333333333334,6,12.857142857142858,1,0,0,117.0,33,0,Graduate
6,14.0,6,13.1,1,0,0,150.0,35,0,Graduate
4,13.0,2,12.0,1,0,0,130.0,26,0,Enrolled
6,13.5,6,12.5,1,0,0,135.1,18,0,Graduate
13,10.692307692307692,9,12.307692307692308,1,0,0,110.0,36,0,Enrolled
5,11.0,5,11.666666666666666,1,0,0,136.2,39,0,Graduate
6,13.0,6,13.833333333333334,1,0,0,116.0,44,0,Graduate
5,12.0,4,11.25,1,0,0,100.0,20,0,Enrolled
4,12.6,4,11.5,1,0,0,116.3,24,0,Dropout
6,13.666666666666666,6,13.333333333333334,1,0,1,134.0,20,0,Graduate
0,0.0,0,0.0,0,0,0,124.2,19,0,Dropout
6,14.2,6,14.2,1,1,1,134.5,18,0,Graduate
5,11.0,0,0.0,0,1,0,120.7,22,0,Dropout
6,15.0,6,16.428571428571427,1,0,0,127.1,18,0,Graduate
6,12.585714285714284,7,13.44285714285714,1,0,0,133.0,24,0,Graduate
0,0.0,0,0.0,1,0,0,128.2,33,0,Dropout
0,0.0,0,0.0,1,1,1,130.0,30,0,Enrolled
0,0.0,0,0.0,1,0,0,172.0,26,0,Dropout
6,11.666666666666666,6,11.833333333333334,1,0,0,128.5,18,0,Graduate
3,12.666666666666666,2,10.0,1,1,0,128.5,19,0,Dropout
3,10.333333333333334,4,11.0,1,0,0,112.0,20,0,Enrolled
8,13.5,7,13.714285714285714,1,0,1,142.5,22,0,Graduate
5,13.98,5,13.98,1,0,0,133.0,19,0,Enrolled
6,16.153846153846153,6,15.75,1,0,1,106.0,21,0,Graduate
6,14.033333333333331,6,14.033333333333331,1,0,1,125.5,21,0,Graduate
1,11.0,5,11.2,1,0,0,131.2,19,0,Enrolled
7,13.857142857142858,6,13.666666666666666,1,0,1,112.9,19,0,Graduate
7,13.414285714285716,7,13.414285714285716,1,0,0,124.8,18,0,Dropout
11,13.545454545454543,7,13.571428571428571,1,0,0,140.9,50,0,Graduate
4,11.25,4,10.833333333333334,1,0,1,148.0,31,0,Enrolled
6,13.833333333333334,6,14.428571428571429,1,0,1,148.4,19,0,Graduate
5,12.0,5,12.857142857142858,1,0,0,129.7,35,0,Graduate
0,0.0,0,0.0,1,0,0,128.2,31,0,Dropout
10,11.9,10,12.8,1,1,0,104.0,42,0,Enrolled
0,0.0,0,0.0,0,0,0,119.9,34,0,Dropout
7,15.135714285714286,8,15.287499999999998,1,0,1,141.0,18,0,Graduate
7,12.285714285714286,6,13.333333333333334,0,0,1,116.6,18,0,Enrolled
5,12.666666666666666,2,13.5,1,0,0,140.0,21,0,Enrolled
5,12.74,6,10.978571428571428,1,0,1,140.0,26,0,Dropout
6,13.25,8,13.75,1,0,0,100.0,20,0,Enrolled
3,10.333333333333334,3,10.333333333333334,1,0,0,121.0,19,0,Enrolled
6,13.428571428571429,6,13.166666666666666,1,0,1,117.0,19,0,Graduate
9,12.555555555555555,8,11.11111111111111,1,0,0,140.2,20,0,Graduate
6,11.5,6,11.166666666666666,1,0,0,129.3,19,0,Graduate
6,13.666666666666666,6,12.333333333333334,1,0,0,145.3,18,0,Graduate
11,11.272727272727272,10,12.0,1,0,0,146.2,28,0,Graduate
5,13.166666666666666,5,12.4,1,0,0,122.5,22,0,Enrolled
6,14.666666666666666,6,14.166666666666666,1,0,1,156.1,21,0,Graduate
4,12.75,1,11.0,1,0,0,140.0,21,0,Enrolled
5,11.2,5,12.14,1,0,0,140.0,26,0,Enrolled
5,13.0,5,11.4,0,1,0,128.4,18,0,Dropout
2,10.5,2,12.333333333333334,0,0,0,115.0,20,0,Dropout
6,14.857142857142858,6,14.0,1,0,0,158.7,18,0,Graduate
7,12.86,7,12.86,1,0,1,124.5,19,0,Graduate
11,11.727272727272728,11,12.0,1,0,0,111.9,20,0,Graduate
6,13.142857142857142,3,12.0,1,0,1,150.0,22,0,Graduate
5,11.8,4,13.714285714285714,1,1,0,114.2,18,0,Dropout
3,10.666666666666666,0,0.0,1,0,0,96.0,19,0,Dropout
5,11.6,4,11.2,1,0,1,128.9,18,0,Enrolled
